Has already crawled 0 countries
Fetching data for Afghanistan...
Fetching Afghanistan successfully
Processing table 1 ...
Albania | Visa required
Eritrea | Visa required
Estonia | Visa not required
Ethiopia | Visa required
Fiji | Visa required
Finland | Visa not required
Franceand territories | Visa not required
Gabon | eVisa
Gambia | Visa not required
Georgia | Visa not required
Germany | Visa not required
Ghana | Visa required
Greece | Visa not required
Grenada | Visa required
Guatemala | Visa not required
Guinea | Visa required
Guinea-Bissau | Visa on arrival
Guyana | Visa required
Haiti | Visa not required
Hungary | Visa not required
Iceland | Visa not required
India | e-Tourist Visa
Indonesia | Visa not required
Iran | Visa on arrival
Iraq | Visa required
Ireland | Visa not required
Israel | Visa not required
Italy | Visa not required
Jamaica | Visa required
Japan | Visa not required
Jordan | Visa on arrival
Kazakhstan | Visa required
Kenya | eVisa
Kiribati | Visa required
North Korea | Visa required
South Korea | Visa not required
Kuwait | Visa required
Kyrgyzstan | Visa required
Laos | Visa on arrival
Latvia | Visa not required
Lebanon | Visa required
Lesotho | Visa required
Liberia | Visa required
Libya | Visa required
Liechtenstein | Visa not required
Lithuania | Visa not required
Luxembourg | Visa not required
Macedonia | Visa not required
Madagascar | Visa on arrival
Malawi | Visa required
Malaysia | Visa not required
Maldives | Visa on arrival
Mali | Visa required
Malta | Visa not required
Marshall Islands | Visa required
Mauritania | Visa on arrival
Mauritius | Visa not required
Mexico | Visa required
Micronesia | Visa not required
Moldova | Visa required
Monaco | Visa not required
Mongolia | Visa required
Montenegro | Visa not required
Morocco | Visa required
Mozambique | Visa on arrival
Myanmar | Visa required
Namibia | Visa required
Nauru | Visa required
Nepal | Visa on arrival
Netherlands | Visa not required
New Zealand | Visa required
Nicaragua | Visa not required
Niger | Visa required
Nigeria | Visa required
Norway | Visa not required
Oman | Visa required
Pakistan | Visa required
Palau | Visa on arrival
Panama | Visa not required
Papua New Guinea | Visa required
Paraguay | Visa not required
Peru | Visa not required
Philippines | Visa not required
Poland | Visa not required
Portugal | Visa not required
Qatar | Visa required
Romania | Visa not required
Russia | Visa not required
Rwanda | Visa required
Saint Kitts and Nevis | Visa not required
Saint Lucia | Visa on arrival
Saint Vincent and the Grenadines | Visa not required
Samoa | Visa on arrival !Entry Permit on arrival
San Marino | Visa not required
S茫o Tom茅 and Pr铆ncipe | Visa required
Saudi Arabia | Visa required
Senegal | Visa on arrival
Serbia | Visa required
Seychelles | Visa on arrival !Visitor's Permit on arrival
Sierra Leone | Visa required
Singapore | Visa not required
Slovakia | Visa not required
Slovenia | Visa not required
Solomon Islands | Visa on arrival !Visitor's permit on arrival
Somalia | Visa on arrival
South Africa | Visa required
South Sudan | Visa required
Spain | Visa not required
Sri Lanka | Electronic Travel Authorization
Sudan | Visa required
Suriname | Tourist Card on arrival
Eswatini | Visa required
Sweden | Visa not required
Switzerland | Visa not required
Syria | Visa required
Tajikistan | Visa required
Tanzania | Visa on arrival
Thailand | Visa required
Timor-Leste | Visa on arrival
Togo | Visa on arrival
Tonga | Visa required
Trinidad and Tobago | Visa not required
Tunisia | Visa not required
Turkey | Visa not required
Turkmenistan | Visa required
Tuvalu | Visa on arrival
Uganda | Visa on arrival
Ukraine | Visa required
United Arab Emirates | Visa required
United Kingdom | Visa not required
United States | Visa required
Uruguay | Visa not required
Uzbekistan | Visa required
Vanuatu | Visa required
Vatican City | Visa not required
Venezuela | Visa required
Vietnam | Visa required
Yemen | Visa required
Zambia | Visa on arrival
Zimbabwe | eVisa
Has already crawled 72 countries
Fetching data for Hong Kong...
Error fetching data for Hong Kong: HTTPSConnectionPool(host='web.archive.org', port=443): Read timed out. (read timeout=20)
Has already crawled 72 countries
Fetching data for Hong Kong...
Fetching Hong Kong successfully
Australia | Australia 1
Brunei | Brunei 1
Chile | Chile 1
Indonesia | Indonesia 2
Japan | Japan 1
South Korea | South Korea 1
Malaysia | Malaysia 2
Mexico | Mexico 1
New Zealand | New Zealand 1
Papua New Guinea | Papua New Guinea 2
Peru | Peru 1
Philippines | Philippines 3
Russia | Russia 1
Singapore | Singapore 2
Thailand | Thailand 1
Vietnam | Vietnam 2
Processing table 1 ...
Afghanistan | Visa required
Albania | Visa not required
Algeria | Visa required
Andorra | Visa not required
Angola | Visa required
Antigua and Barbuda | Electronic Entry Visa
Argentina | Visa not required
Armenia | Visa on arrival
Australia | Electronic Travel Authority
Austria | Visa not required
Azerbaijan | Visa required
Bahamas | Visa not required
Bahrain | Visa on arrival
Bangladesh | Visa required
Barbados | Visa required
Belarus | Visa not required
Belgium | Visa not required
Belize | Visa not required
Benin | Visa required
Bhutan | Visa required
Bolivia | Visa required
Bosnia and Herzegovina | Visa not required
Botswana | Visa not required
Brazil | Visa not required
Brunei | Visa not required
Bulgaria | Visa not required
Burkina Faso | Visa on arrival
Burundi | Visa required
Cambodia | Visa on arrival
Cameroon | Visa required
Canada | Visa not required
Cape Verde | Visa not required
Central African Republic | Visa required
Chad | Visa required
Chile | Visa not required
Mainland China | WithHome Return Permitonly
Colombia | Visa not required
Comoros | Visa on arrival
Republic of the Congo | Visa required
Democratic Republic of the Congo | Visa required
Costa Rica | Visa required
Cote d'Ivoire !C么te d'Ivoire | eVisa
Croatia | Visa not required
Cuba | Visa required !Tourist Card required
Cyprus | Visa not required
Czech Republic | Visa not required
Denmark | Visa not required
Djibouti | Visa on arrival
Dominica | Visa not required
Dominican Republic | Visa not required
Ecuador | Visa not required
Egypt | Visa not required
El Salvador | Visa required
Equatorial Guinea | Visa required
Eritrea | Visa required
Estonia | Visa not required
Ethiopia | Visa on arrival
Fiji | Visa not required
Finland | Visa not required
Franceand territories | Visa not required
Gabon | e-Visa
Gambia | Visa required
Georgia | eVisa
Germany | Visa not required
Ghana | Visa required
Greece | Visa not required
Grenada | Visa not required
Guatemala | Visa required
Guinea | Visa required
Guinea-Bissau | Visa on arrival
Guyana | Visa required
Haiti | Visa not required
Honduras | Visa required
Hungary | Visa not required
Iceland | Visa not required
India | e-Tourist Visa
Indonesia | Visa not required
Iran | Visa on arrival
Iraq | Visa required
Ireland | Visa not required
Israel | Visa not required
Italy | Visa not required
Jamaica | Visa not required
Japan | Visa not required
Jordan | Visa on arrival
Kazakhstan | Visa not required
Kenya | eVisa
Kiribati | Visa not required
North Korea | Visa required
South Korea | Visa not required
Kuwait | eVisa
Kyrgyzstan | Visa required
Laos | Visa on arrival
Latvia | Visa not required
Lebanon | Visa on arrival
Lesotho | Visa not required
Liberia | Visa required
Libya | Visa required
Liechtenstein | Visa not required
Lithuania | Visa not required
Luxembourg | Visa not required
Macedonia | Visa not required
Madagascar | Visa on arrival
Malawi | Visa not required
Malaysia | Visa not required
Maldives | Visa on arrival
Mali | Visa required
Malta | Visa not required
Marshall Islands | Visa required
Mauritania | Visa on arrival
Mauritius | Visa not required
Mexico | Visa not required
Micronesia | Visa not required
Moldova | Visa not required
Monaco | Visa not required
Mongolia | Visa not required
Montenegro | Visa not required
Morocco | Visa not required
Mozambique | Visa on arrival
Myanmar | eVisa
Namibia | Visa not required
Nauru | Visa required
Nepal | Visa on arrival
Netherlands | Visa not required
New Zealand | Visa not required
Nicaragua | Visa not required
Niger | Visa not required
Nigeria | Visa required
Norway | Visa not required
Oman | Visa on arrival
Pakistan | Visa required
Palau | Visa on arrival
Panama | Visa required
Papua New Guinea | Visa on arrival
Paraguay | Visa required
Peru | Visa not required
Philippines | Visa not required
Poland | Visa not required
Portugal | Visa not required
Qatar | Visa on arrival
Romania | Visa not required
Russia | Visa not required
Rwanda | Visa not required
Saint Kitts and Nevis | Visa not required
Saint Lucia | Visa not required
Saint Vincent and the Grenadines | Visa not required
Samoa | Visa on arrival !Entry Permit on arrival
San Marino | Visa not required
S茫o Tom茅 and Pr铆ncipe | eVisa
Saudi Arabia | Visa required
Senegal | Visa required
Serbia | Visa not required
Seychelles | Visa on arrival !Visitor's Permit on arrival
Sierra Leone | Visa required
Singapore | Visa not required
Slovakia | Visa not required
Slovenia | Visa not required
Solomon Islands | Visa required
Somalia | Visa required
South Africa | Visa not required
South Sudan | Visa required
Spain | Visa not required
Sri Lanka | Electronic Travel Authority
Sudan | Visa required
Suriname | Visa not required
Eswatini | Visa required
Sweden | Visa not required
Switzerland | Visa not required
Syria | Visa required
Tajikistan | Visa on arrival
Tanzania | Visa not required
Thailand | Visa not required
Timor-Leste | Visa on arrival
Togo | Visa on arrival
Tonga | Visa on arrival
Trinidad and Tobago | Visa not required
Tunisia | Visa not required
Turkey | Visa not required
Turkmenistan | Visa required
Tuvalu | Visa on arrival
Uganda | Visa not required
Ukraine | Visa not required
United Arab Emirates | Visa on arrival
United Kingdom | Visa not required
United States | Visa required
Uruguay | Visa not required
Uzbekistan | Visa required
Vanuatu | Visa not required
Vatican City | Visa not required
Venezuela | Visa not required
Vietnam | Visa required
Yemen | Visa required
Zambia | Visa not required
Zimbabwe | Visa not required
Processing table 2 ...
Visitor to | Visa requirement
Abkhazia | Visa required
Mount Athos | Special permit required
Crimea | Visa not required
Turkish Republic of Northern Cyprus | Visa not required
UN Buffer Zone in Cyprus | Access Permit required
Faroe Islands | Visa not required
Gibraltar | Visa not required
Guernsey | Visa not required
Isle of Man | Visa not required
Jan Mayen | Permit required
Jersey | Visa not required
Kosovo | Visa not required
Nagorno-Karabakh Republic | Visa required
Russia | Special authorisation required
South Ossetia | Visa not required
Transnistria | Visa not required
Visitor to | Visa requirement
British Indian Ocean Territory | Special permit required
EritreaoutsideAsmara | Travel permit required
Mayotte | Visa not required
R茅union | Visa not required
Ascension Island | Entry Permit required
Saint Helena | Visitor's Pass required
Tristan da Cunha | Permission required
Somaliland | Visa on arrival
Sudan | Travel permit required
Darfur | Travel permit required
Visitor to | Visa requirement
IndiaPAP/RAP | PAP/RAP required
Kazakhstan | Special permission required
Kish Island | Visa not required
Malaysia:SabahandSarawak | Visa not required
Maldives | Permission required
Palestine | Visa not required
Gorno-Badakhshan Autonomous Province | OIVR permit required
Korean Demilitarized Zone | Restricted zone
UNDOF ZoneandGhajar | Restricted zone
Yemen | Special permission required
Visitor to | Visa requirement
Anguilla | Visa not required
Aruba | Visa not required
Bermuda | Visa not required
Bonaire,St. EustatiusandSaba | Visa not required
British Virgin Islands | Visa not required
Cayman Islands | Visa not required
Curacao | Visa not required
French Guiana | Visa not required
French West Indies | Visa not required
Greenland | Visa not required
Montserrat | Visa not required
Puerto Rico | Visa required
Saint Pierre and Miquelon | Visa not required
Sint Maarten | Visa not required
Turks and Caicos Islands | Visa not required
U.S. Virgin Islands | Visa required
Visitor to | Visa requirement
American Samoa | Visa required
Ashmore and Cartier Islands | Special authorisation required
Clipperton Island | Special permit required
Cook Islands | Visa not required
Lau Province | Special permission required
French Polynesia | Visa not required
Guam | Visa not required
New Caledonia | Visa not required
Northern Mariana Islands | Visa not required
Niue | Visa on arrival
Pitcairn Islands | Visa not required
United States Minor Outlying Islands | Special permits required
Wallis and Futuna | Visa not required
Visitor to | Visa requirement
Gal谩pagos | Pre-registration required
Visitor to | Visa requirement
Falkland Islands | Visa not required
South Georgia and the South Sandwich Islands | Permit required
Antarctica | 
Processing table 3 ...
Macao | Visa not required
Taiwan | Entry permit on arrival
Has already crawled 73 countries
Fetching data for Hungary...
Fetching Hungary successfully
Processing table 1 ...
Afghanistan | Visa required
Albania | Visa not required
Algeria | Visa required
Andorra | Visa not required
Angola | Visa required
Antigua and Barbuda | Visa not required
Argentina | Visa not required
Armenia | Visa not required
Australia | eVisitor
Austria | EU !Visa not required
Azerbaijan | eVisa
Bahamas | Visa not required
Bahrain | Visa on arrival
Bangladesh | Visa on arrival
Barbados | Visa not required
Belarus | Visa not required
Belgium | EU !Visa not required
Belize | Visa not required
Benin | Visa required
Bhutan | Visa required
Bolivia | Visa not required
Bosnia and Herzegovina | Visa not required
Botswana | Visa not required
Brazil | Visa not required
Brunei | Visa not required
Bulgaria | EU !Visa not required
Burkina Faso | Visa on arrival
Burundi | Visa required
Cambodia | Visa on arrival
Cameroon | Visa required
Canada | Visa not required
Cape Verde | Visa on arrival
Central African Republic | Visa required
Chad | Visa required
Chile | Visa not required
China | Visa required
Colombia | Visa not required
Comoros | Visa on arrival
Republic of the Congo | Visa required
Democratic Republic of the Congo | Visa required
Costa Rica | Visa not required
Cote d'Ivoire !C么te d'Ivoire | eVisa
Croatia | EU !Visa not required
Cuba | Visa required !Tourist Card required
Cyprus | EU !Visa not required
Czech Republic | EU !Visa not required
Denmark | EU !Visa not required
Djibouti | Visa on arrival
Dominica | Visa not required
Dominican Republic | Visa not required
Ecuador | Visa not required
Egypt | Visa on arrival
El Salvador | Visa not required
Equatorial Guinea | Visa required
Eritrea | Visa required
Estonia | EU !Visa not required
Ethiopia | Visa required
Fiji | Visa not required
Finland | EU !Visa not required
France | EU !Visa not required
Gabon | e-Visa
Gambia | Visa not required
Georgia | Visa not required
Germany | EU !Visa not required
Ghana | Visa required
Greece | EU !Visa not required
Grenada | Visa not required
Guatemala | Visa not required
Guinea | Visa required
Guinea-Bissau | Visa on arrival
Guyana | Visa required
Haiti | Visa not required
Honduras | Visa not required
Iceland | EU !Visa not required
India | e-Tourist Visa
Indonesia | Visa not required
Iran | Visa on arrival
Iraq | Visa required
Ireland | EU !Visa not required
Israel | Visa not required
Italy | EU !Visa not required
Jamaica | Visa not required
Japan | Visa not required
Jordan | Visa on arrival !Free visa on arrival
Kazakhstan | Visa not required
Kenya | eVisa
Kiribati | Visa not required
North Korea | Visa required
South Korea | Visa not required
Kuwait | eVisa
Kyrgyzstan | Visa not required
Laos | Visa on arrival
Latvia | EU !Visa not required
Lebanon | Visa on arrival
Lesotho | Visa required
Liberia | Visa required
Libya | Visa required
Liechtenstein | EU !Visa not required
Lithuania | EU !Visa not required
Luxembourg | EU !Visa not required
Macedonia | Visa not required
Madagascar | Visa on arrival !Free visa on arrival
Malawi | Visa on arrival
Malaysia | Visa not required
Maldives | Visa on arrival !Free visa on arrival
Mali | Visa required
Malta | EU !Visa not required
Marshall Islands | Visa not required
Mauritania | Visa on arrival
Mauritius | Visa not required
Mexico | Visa not required
Micronesia | Visa not required
Moldova | Visa not required
Monaco | Visa not required
Mongolia | Visa required
Montenegro | Visa not required
Morocco | Visa not required
Mozambique | Visa on arrival
Myanmar | eVisa
Namibia | Visa required
Nauru | Visa required
Nepal | Visa on arrival
Netherlands | EU !Visa not required
New Zealand | Visa not required
Nicaragua | Visa not required
Niger | Visa required
Nigeria | Visa required
Norway | EU !Visa not required
Oman | Visa on arrival
Pakistan | Visa required
Palau | Visa not required
Panama | Visa not required
Papua New Guinea | Visa on arrival !Free visa on arrival
Paraguay | Visa not required
Peru | Visa not required
Philippines | Visa not required
Poland | EU !Visa not required
Portugal | EU !Visa not required
Qatar | Visa on arrival
Romania | EU !Visa not required
Russia | Visa required
Rwanda | eVisa
Saint Kitts and Nevis | Visa not required
Saint Lucia | Visa not required
Saint Vincent and the Grenadines | Visa not required
Samoa | Visa not required
San Marino | Visa not required
S茫o Tom茅 and Pr铆ncipe | Visa not required
Saudi Arabia | Visa required
Senegal | Visa not required
Serbia | Visa not required
Seychelles | Visa not required
Sierra Leone | Visa required
Singapore | Visa not required
Slovakia | EU !Visa not required
Slovenia | EU !Visa not required
Solomon Islands | Visa not required
Somalia | Visa required
South Africa | Visa not required
South Sudan | Visa required
Spain | EU !Visa not required
Sri Lanka | Electronic Travel Authorization
Sudan | Visa required
Suriname | Visa on arrival !Tourist Card on arrival
Eswatini | Visa not required
Sweden | EU !Visa not required
Switzerland | EU !Visa not required
Syria | Visa required
Tajikistan | Visa on arrival
Tanzania | Visa on arrival
Thailand | Visa not required
Timor-Leste | Visa not required
Togo | Visa on arrival
Tonga | Visa not required
Trinidad and Tobago | Visa not required
Tunisia | Visa not required
Turkey | Visa not required
Turkmenistan | Visa required
Tuvalu | Visa not required
Uganda | Visa on arrival
Ukraine | Visa not required
United Arab Emirates | Visa not required
United Kingdom | EU !Visa not required
United States | Visa not required !Visa Waiver Program
Uruguay | Visa not required
Uzbekistan | Visa required
Vanuatu | Visa not required
Vatican City | Visa not required
Venezuela | Visa not required
Vietnam | eVisa
Yemen | Visa required
Zambia | Visa on arrival
Zimbabwe | Visa on arrival
Processing table 2 ...
Visitor to | Visa requirement
Abkhazia | Visa required
Mount Athos | Special permit required
Belovezhskaya Pushcha National Park | Visa not required
Crimea | Visa required
Turkish Republic of Northern Cyprus | Visa not required
UN Buffer Zone in Cyprus | Access Permit required
Faroe Islands | Visa not required
Gibraltar | Visa not required
Guernsey | Visa not required
Isle of Man | Visa not required
Jan Mayen | Permit required
Jersey | Visa not required
Kosovo | Visa not required
Nagorno-Karabakh Republic | Visa required
Russia | Special authorization required
South Ossetia | Visa not required
Transnistria | Visa not required
Visitor to | Visa requirement
British Indian Ocean Territory | Special permit required
EritreaoutsideAsmara | Travel permit required
Mayotte | Visa not required
R茅union | Visa not required
Ascension Island | Entry Permit required
Saint Helena | Visitor's Pass required
Tristan da Cunha | Permission required
Sahrawi Arab Democratic Republic | 
Somaliland | Visa on arrival
Sudan | Travel permit required
Darfur | Travel permit required
Visitor to | Visa requirement
Hong Kong | Visa not required
IndiaPAP/RAP | PAP/RAP required
Iraqi Kurdistan | Visa on arrival
Kazakhstan | Special permission required
Kish Island | Visa not required
Macao | Visa not required
SabahandSarawak | Visa not required
Maldives | Permission required
Palestine | Visa not required
Taiwan | Visa not required
Gorno-Badakhshan Autonomous Province | OIVR permit required
Tibet Autonomous Region | TTP required
Turkmenistan | Special permit required
Korean Demilitarized Zone | Restricted zone.
UNDOF ZoneandGhajar | Restricted zone.
Ph煤 Qu峄慶 | Visa not required
Yemen | Special permission required
Visitor to | Visa requirement
Anguilla | Visa not required
Aruba | Visa not required
Bermuda | Visa not required
Bonaire,St. EustatiusandSaba | Visa not required
British Virgin Islands | Visa not required
San Andr茅sandLeticia | Tourist Card on arrival
Cayman Islands | Visa not required
Cura莽ao | Visa not required
French Guiana | Visa not required
French West Indies | Visa not required
Greenland | Visa not required
Margarita Island | Visa not required
Montserrat | Visa not required
Puerto Rico | Visa not required
Saint Pierre and Miquelon | Visa not required
Sint Maarten | Visa not required
Turks and Caicos Islands | Visa not required
U.S. Virgin Islands | Visa not required
Visitor to | Visa requirement
American Samoa | Entry permit required
Ashmore and Cartier Islands | Special authorisation required
Clipperton Island | Special permit required
Cook Islands | Visa not required
Lau Province | Special permission required
French Polynesia | Visa not required
Guam | Visa not required
New Caledonia | Visa not required
Niue | Visa on arrival
Northern Mariana Islands | Visa not required
Pitcairn Islands | Visa not required
Tokelau | Entry permit required
United States Minor Outlying Islands | Special permits required
Wallis and Futuna | Visa not required
Visitor to | Visa requirement
Gal谩pagos | Pre-registration required
Visitor to | Visa requirement
Falkland Islands | Visa not required
South Georgia and the South Sandwich Islands | Permit required
Antarctica | 
Has already crawled 74 countries
Fetching data for Iceland...
Fetching Iceland successfully
Eritrea | Eritrea (outside Asmara ) 鈥?visa covers Asmara only; to travel in the rest of the country, a Travel Permit for Foreigners is required (20 Eritrean nakfa ). [227]
Hong Kong | Hong Kong 鈥?Visa not required for 90 days. [233]
India | India 鈥?Protected Area Permit (PAP) required for all of Arunachal Pradesh , Manipur , Mizoram and parts of Himachal Pradesh , Jammu and Kashmir and Uttarakhand . Restricted Area Permit (RAP) required for all of Andaman and Nicobar Islands and Lakshadweep and parts of Sikkim . Some of these requirements are occasionally lifted for a year. [234] [235] [236] [237] [238]
Palestine | Palestine 鈥?Visa not required. Arrival by sea to Gaza Strip not allowed. [240]
Processing table 1 ...
Afghanistan | Visa required
Albania | Visa not required
Algeria | Visa required
Andorra | Visa not required
Angola | Visa required
Antigua and Barbuda | Visa not required
Argentina | Visa not required
Armenia | Visa not required
Australia | eVisitor
Austria | EU !Visa not required
Azerbaijan | eVisa
Bahamas | Visa not required
Bahrain | Visa on arrival
Bangladesh | Visa on arrival
Barbados | Visa not required
Belarus | Visa not required
Belgium | EU !Visa not required
Belize | Visa not required
Benin | Visa required
Bhutan | Visa required
Bolivia | Visa not required
Bosnia and Herzegovina | Visa not required
Botswana | Visa not required
Brazil | Visa not required
Brunei | Visa not required
Bulgaria | EU !Visa not required
Burkina Faso | Visa on arrival
Burundi | Visa required
Cambodia | Visa on arrival
Cameroon | Visa required
Canada | Visa not required
Cape Verde | Visa on arrival
Central African Republic | Visa required
Chad | Visa required
Chile | Visa not required
China | Visa required
Colombia | Visa not required
Comoros | Visa on arrival
Republic of the Congo | Visa required
Democratic Republic of the Congo | Visa required
Costa Rica | Visa not required
Cote d'Ivoire !C么te d'Ivoire | Visa required
Croatia | EU !Visa not required
Cuba | Visa required !Tourist Card required
Cyprus | EU !Visa not required
Czech Republic | EU !Visa not required
Denmarkand territories | EU !Visa not required
Djibouti | Visa on arrival
Dominica | Visa not required
Dominican Republic | Visa not required
Ecuador | Visa not required
Egypt | Visa on arrival
El Salvador | Visa not required
Equatorial Guinea | Visa required
Eritrea | Visa required
Estonia | EU !Visa not required
Ethiopia | Visa required
Fiji | Visa not required
Finland | EU !Visa not required
Franceand territories | EU !Visa not required
Gabon | eVisa
Gambia | Visa not required
Georgia | Visa not required
Germany | EU !Visa not required
Ghana | Visa required
Greece | EU !Visa not required
Grenada | Visa not required
Guatemala | Visa not required
Guinea | Visa required
Guinea-Bissau | Visa on arrival
Guyana | Visa required
Haiti | Visa not required
Honduras | Visa not required
Hungary | EU !Visa not required
India | e-Tourist Visa
Indonesia | Visa not required
Iran | Visa on arrival
Iraq | Visa required
Ireland | EU !Visa not required
Israel | Visa not required
Italy | EU !Visa not required
Jamaica | Visa not required
Japan | Visa not required
Jordan | Visa on arrival
Kazakhstan | Visa not required
Kenya | eVisa
Kiribati | Visa not required
North Korea | Visa required
South Korea | Visa not required
Kuwait | eVisa
Kyrgyzstan | Visa not required
Laos | Visa on arrival
Latvia | EU !Visa not required
Lebanon | Visa on arrival
Lesotho | Visa not required
Liberia | Visa required
Libya | Visa required
Liechtenstein | EU !Visa not required
Lithuania | EU !Visa not required
Luxembourg | EU !Visa not required
Macedonia | Visa not required
Madagascar | Visa on arrival
Malawi | Visa on arrival
Malaysia | Visa not required
Maldives | Visa on arrival
Mali | Visa required
Malta | EU !Visa not required
Marshall Islands | Visa not required
Mauritania | Visa on arrival
Mauritius | Visa not required
Mexico | Visa not required
Micronesia | Visa not required
Moldova | Visa not required
Monaco | Visa not required
Mongolia | Visa required
Montenegro | Visa not required
Morocco | Visa not required
Mozambique | Visa on arrival
Myanmar | eVisa
Namibia | Visa not required
Nauru | Visa required
Nepal | Visa on arrival
Netherlands | EU !Visa not required
New Zealand | Visa not required
Nicaragua | Visa not required
Niger | Visa required
Nigeria | Visa required
Norway | EU !Visa not required
Oman | Visa on arrival
Pakistan | Visa not required
Palau | Visa on arrival
Panama | Visa not required
Papua New Guinea | Visa on arrival
Paraguay | Visa not required
Peru | Visa not required
Philippines | Visa not required
Poland | EU !Visa not required
Portugal | EU !Visa not required
Qatar | Visa on arrival
Romania | EU !Visa not required
Russia | Visa required
Rwanda | Visa required
Saint Kitts and Nevis | Visa not required
Saint Lucia | Visa not required
Saint Vincent and the Grenadines | Visa not required
Samoa | Visa on arrival
San Marino | Visa not required
S茫o Tom茅 and Pr铆ncipe | Visa required
Saudi Arabia | Visa required
Senegal | Visa not required
Serbia | Visa not required
Seychelles | Visa not required
Sierra Leone | Visa required
Singapore | Visa not required
Slovenia | EU !Visa not required
Slovakia | EU !Visa not required
Solomon Islands | Visa on arrival !Visitor's permit on arrival
Somalia | Visa required
South Africa | Visa not required
South Sudan | Visa required
Spain | EU !Visa not required
Sri Lanka | Electronic Travel Authorization
Sudan | Visa required
Suriname | Visa on arrival !Tourist Card on arrival
Eswatini | Visa required
Sweden | EU !Visa not required
Switzerland | EU !Visa not required
Syria | Visa required
Tajikistan | Visa on arrival
Tanzania | Visa on arrival
Thailand | Visa not required
Timor-Leste | Visa not required
Togo | Visa on arrival
Tonga | Visa not required
Trinidad and Tobago | Visa not required
Tunisia | Visa not required
Turkey | Visa not required
Turkmenistan | Visa required
Tuvalu | Visa not required
Uganda | Visa on arrival
Ukraine | Visa not required
United Arab Emirates | Visa not required
United Kingdom | EU !Visa not required
United States | Visa not required !Visa Waiver Program
Uruguay | Visa not required
Uzbekistan | Visa required
Vanuatu | Visa required
Vatican City | Visa not required
Venezuela | Visa not required
Vietnam | Visa required
Yemen | Visa required
Zambia | Visa on arrival
Zimbabwe | Visa on arrival
Has already crawled 75 countries
Fetching data for India...
Fetching India successfully
Bhutan | Bhutan (Visa not required)
Nepal | Nepal (Visa not required)
Maldives | Maldives (Visa not required, for 90 days)
Antigua and Barbuda | Antigua and Barbuda (e-Visa required)
Gabon | Gabon (e-Visa required)
Georgia | Georgia (e-Visa required)
Kenya | Kenya (e-Visa required)
Malaysia | Malaysia (e-Visa required)
Myanmar | Myanmar (e-Visa required)
Sri Lanka | Sri Lanka (e-Visa required)
Zambia | Zambia (e-Visa required)
Zimbabwe | Zimbabwe (e-Visa required)
Hong Kong | Hong Kong (Electronic Authorization required)
Processing table 1 ...
Afghanistan | Visa required
Albania | Visa required
Algeria | Visa required
Andorra | Visa required
Angola | Visa required
Antigua and Barbuda | Electronic Entry Visa
Argentina | Visa required
Armenia | Visa required
Australia | Visa required
Austria | Visa required
Azerbaijan | eVisa
Bahamas | Visa required
Bahrain | eVisa
Bangladesh | Visa required
Barbados | Visa required
Belarus | Visa required
Belgium | Visa required
Belize | Visa required
Benin | Visa required
Bhutan | Visa not required
Bolivia | Visa on arrival
Bosnia and Herzegovina | Visa required
Botswana | Visa required
Brazil | Visa required
Brunei | Visa required
Bulgaria | Visa required
Burkina Faso | Visa required
Burundi | Visa required
Cambodia | Visa on arrival
Cameroon | Visa required
Canada | Visa required
Cape Verde | Visa on arrival
Central African Republic | Visa required
Chad | Visa required
Chile | Visa required
China | Visa required
Colombia | Visa required
Comoros | Visa on arrival
Republic of the Congo | Visa required
Democratic Republic of the Congo | Visa required
Costa Rica | Visa required
Croatia | Visa required
Cuba | Visa required
Cyprus | Visa required
Czech Republic | Visa required
Denmark | Visa required
Djibouti | Visa required
Dominica | Visa not required
Dominican Republic | Visa required
East Timor | Visa on arrival
Ecuador | Visa not required
Egypt | Visa required
El Salvador | Visa not required
Equatorial Guinea | Visa required
Eritrea | Visa required
Estonia | Visa required
Ethiopia | Visa on arrival
Fiji | Visa not required
Finland | Visa required
France | Visa required
Gabon | e-Visa
Gambia | Visa required
Georgia | eVisa
Germany | Visa required
Ghana | Visa required
Greece | Visa required
Grenada | Visa not required
Guatemala | Visa required
Guinea | Visa required
Guinea-Bissau | Visa on arrival
Guyana | Visa on arrival
Haiti | Visa not required
Honduras | Visa required
Hungary | Visa required
Iceland | Visa required
Indonesia | Visa not required
Iran | Visa required
Iraq | Visa required
Ireland | Visa required
Israel | Visa required
Italy | Visa required
Ivory Coast | eVisa
Jamaica | Visa not required
Japan | Visa required
Jordan | Visa on arrival
Kazakhstan | Visa required
Kenya | eVisa
Kiribati | Visa required
North Korea | Visa required
South Korea | Visa required
Kuwait | Visa required
Kyrgyzstan | Visa required
Laos | Visa on arrival
Latvia | Visa required
Lebanon | Visa required
Lesotho | Visa required
Liberia | Visa required
Libya | Visa required
Liechtenstein | Visa required
Lithuania | Visa required
Luxembourg | Visa required
Macedonia | Visa required
Madagascar | Visa on arrival
Malawi | Visa on arrival
Malaysia | eVisa
Maldives | Visa not required
Mali | Visa required
Malta | Visa required
Marshall Islands | Visa on arrival
Mauritania | Visa on arrival
Mauritius | Visa not required
Mexico | Visa required
Micronesia | Visa not required
Moldova | Visa required
Monaco | Visa required
Mongolia | Visa required
Montenegro | Visa required
Morocco | Visa required
Mozambique | Visa on arrival
Myanmar | eVisa
Namibia | Visa required
Nauru | Visa required
Nepal | Freedom of movement
